cell_id,celltype,x,y
fpcpkjkm-1,Luminal-like Amorphous DCIS Cells,3815.8056640625,1415.068359375
jbibfodc-1,T Lymphocytes,6704.87744140625,2252.292724609375
bnlhmeme-1,T Lymphocytes,9611.099609375,4385.48828125
fhcldail-1,Basal-like Structured DCIS Cells,4976.48291015625,3778.539794921875
fakdcjdd-1,Endothelial Cells,4738.619140625,3022.874267578125
nafefmjm-1,Myoepithelial Cells,5949.248046875,4999.5380859375
cnbbbffk-1,Luminal-like Amorphous DCIS Cells,2026.8177490234373,2719.191650390625
dofdlfpd-1,11q13 Invasive Tumor Cells,4121.537109375,4131.29736328125
ffomjeol-1,11q13 Invasive Tumor Cells,5505.85595703125,3273.037109375
oiicbilg-1,B Cells,6767.90869140625,2202.147705078125
ehddpiok-1,Endothelial Cells,5076.34814453125,897.1102905273438
mjcaanbd-1,11q13 Invasive Tumor Cells,9371.3359375,4075.350830078125
epedlddo-1,11q13 Invasive Tumor Cells,4889.716796875,1416.66162109375
dkjjgjgl-1,"CAFs, DCIS Associated",4078.462646484375,3601.0234375
fdhgbolg-1,11q13 Invasive Tumor Cells,4928.07763671875,4224.89013671875
eimgambl-1,"CAFs, DCIS Associated",5010.0087890625,417.15814208984375
ehaahjli-1,11q13 Invasive Tumor Cells,3466.36572265625,4044.243896484375
lcplhkib-1,B Cells,8841.7177734375,401.8367614746094
nokmgmhh-1,11q13 Invasive Tumor Cells,6234.095703125,4443.00732421875
ecjlhnol-1,"CAFs, DCIS Associated",3188.48486328125,4001.812744140625
jgdladef-1,11q13 Invasive Tumor Cells,7361.90478515625,1458.8349609375
ncbmgiij-1,11q13 Invasive Tumor Cells,7026.1728515625,3347.987060546875
fnljnhlf-1,Pericytes,3932.881103515625,2068.546142578125
hbenlood-1,T Lymphocytes,3382.032470703125,5119.58056640625
fmdldiih-1,"CAFs, DCIS Associated",3980.246826171875,1288.75341796875
kanjnndi-1,Macrophages,7832.24560546875,452.34906005859375
mnfnejda-1,11q13 Invasive Tumor Cells,5928.697265625,5417.12744140625
eacjkppo-1,CXCL14+ Fibroblasts,3897.012451171875,3339.97607421875
mahdkeej-1,"CAFs, DCIS Associated",7873.63671875,4502.232421875
fblgbaca-1,11q13 Invasive Tumor Cells,5050.37744140625,4312.52978515625
ifhclcgk-1,Macrophages,667.4022827148438,3177.255859375
dblgpmgf-1,Myoepithelial Cells,1402.870849609375,2432.682861328125
fbgglhij-1,11q13 Invasive Tumor Cells,4838.46240234375,4457.65771484375
ifmcjhak-1,"CAFs, DCIS Associated",688.7636108398438,3554.89892578125
ogcpkala-1,11q13 Invasive Tumor Cells (Mitotic),8668.681640625,3180.89013671875
nnbapaci-1,T Lymphocytes,6868.0126953125,3154.090087890625
dhhgbdmj-1,11q13 Invasive Tumor Cells,3964.35400390625,3011.255126953125
hpcbbgng-1,"CAFs, DCIS Associated",2127.50146484375,4611.912109375
gagnmlam-1,"CAFs, DCIS Associated",3278.26171875,355.0177307128906
elbeeamd-1,Dendritic Cells,5119.9609375,1960.9847412109373
dcjcbjnn-1,Luminal-like Amorphous DCIS Cells,902.204345703125,2140.995361328125
ejcjnfcb-1,"CAFs, DCIS Associated",4798.64990234375,748.7036743164062
hglblmde-1,"CAFs, DCIS Associated",4285.38671875,5491.0302734375
blapghhj-1,T Lymphocytes,8694.4794921875,2753.71630859375
