,11q13 Invasive Tumor Cells,11q13 Invasive Tumor Cells (G1/S),11q13 Invasive Tumor Cells (Mitotic),Apocrine Cells,B Cells,Basal-like Structured DCIS Cells,"CAFs, DCIS Associated","CAFs, Invasive Associated",CXCL14+ Fibroblasts,Dendritic Cells,Endothelial Cells,Luminal-like Amorphous DCIS Cells,Macrophages,Mast Cells,Myeloid Cells,Myoepithelial Cells,Pericytes,Plasma Cells,T Lymphocytes
ANXA7,0.4905024510672596,0.4905024510672596,0.4905024510672596,1.0,0.4905024510672596,0.4905024510672596,0.3729970793711002,0.4905024510672596,0.11801882954365815,0.4905024510672596,0.11801882954365815,1.0,0.1509946334255283,0.21109410540642978,0.17183282922701162,0.3729970793711002,0.11801882954365815,0.3729970793711002,0.4905024510672596
AP2M1,0.4841161339624035,0.4841161339624035,0.4841161339624035,1.0,0.4841161339624035,0.4841161339624035,0.3803356586194198,0.4841161339624035,0.15963376183398995,0.4841161339624035,0.15963376183398995,1.0,0.1390143335576839,0.21867274112258778,0.17658021128784354,0.3803356586194198,0.15963376183398995,0.3803356586194198,0.4841161339624035
APEX1,0.3859290590926398,0.3859290590926398,0.3859290590926398,1.0,0.1630004651864623,0.11845647917906627,0.6218706651231395,0.3859290590926398,0.25807256625869535,0.1630004651864623,0.25807256625869535,0.6218706651231395,0.25807256625869535,0.25807256625869535,0.25807256625869535,0.6218706651231395,0.25807256625869535,0.6218706651231395,0.1630004651864623
APOE,0.39242484274779077,0.39242484274779077,0.39242484274779077,1.0,0.25889319884594447,0.25889319884594447,0.6201652471775414,0.39242484274779077,0.13535351560158856,0.25889319884594447,0.13535351560158856,0.6201652471775414,0.09043334162092986,0.19873644447195252,0.16388458654072285,0.6201652471775414,0.13535351560158856,0.6201652471775414,0.25889319884594447
APP,0.491702899901976,0.491702899901976,0.491702899901976,1.0,0.491702899901976,0.491702899901976,0.3716295586358446,0.491702899901976,0.10877476249012435,0.491702899901976,0.10877476249012435,1.0,0.15205149882167973,0.2101634927330139,0.17072510702397595,0.3716295586358446,0.10877476249012435,0.3716295586358446,0.491702899901976
APPBP2,0.3893366302170122,0.3893366302170122,0.3893366302170122,1.0,0.17881166470237903,0.14312663220099922,0.6206540723877361,0.3893366302170122,0.25568527127566376,0.17881166470237903,0.25568527127566376,0.6206540723877361,0.25568527127566376,0.25568527127566376,0.25568527127566376,0.6206540723877361,0.25568527127566376,0.6206540723877361,0.17881166470237903
APRT,0.3831334682482255,0.3831334682482255,0.3831334682482255,1.0,0.15799292371000656,0.1100609153788209,0.6229419654195149,0.3831334682482255,0.26180183793396766,0.15799292371000656,0.26180183793396766,0.6229419654195149,0.26180183793396766,0.26180183793396766,0.26180183793396766,0.6229419654195149,0.26180183793396766,0.6229419654195149,0.15799292371000656
ARF1,0.48439404995091495,0.48439404995091495,0.48439404995091495,1.0,0.48439404995091495,0.48439404995091495,0.38020143977583154,0.48439404995091495,0.15992385811411164,0.48439404995091495,0.15992385811411164,1.0,0.14341800219985815,0.21879187669073305,0.17638163811077212,0.38020143977583154,0.15992385811411164,0.38020143977583154,0.48439404995091495
ARF6,0.38333710636522794,0.38333710636522794,0.38333710636522794,1.0,0.15516329068573828,0.10932053820337925,0.622846908288091,0.38333710636522794,0.2609471522121959,0.15516329068573828,0.2609471522121959,0.622846908288091,0.2609471522121959,0.2609471522121959,0.2609471522121959,0.622846908288091,0.2609471522121959,0.622846908288091,0.15516329068573828
ARFGEF1,0.3876737167472738,0.3876737167472738,0.3876737167472738,1.0,0.17035111843434886,0.13024900852938026,0.6212462694071382,0.3876737167472738,0.2564890797624218,0.17035111843434886,0.2564890797624218,0.6212462694071382,0.2564890797624218,0.2564890797624218,0.2564890797624218,0.6212462694071382,0.2564890797624218,0.6212462694071382,0.17035111843434886
